pH,total sulfur dioxide,chlorides,residual sugar,citric acid,quality white
3.23 ,186.0 mg/dm^3,0.048 g(sodium chloride)/dm^3,7.7 g/dm^3,0.18 g/dm^3,False
3.11 ,147.0 mg/dm^3,0.042 g(sodium chloride)/dm^3,1.3 g/dm^3,0.49 g/dm^3,False
3.55 ,117.0 mg/dm^3,0.03 g(sodium chloride)/dm^3,1.1 g/dm^3,0.49 g/dm^3,True
3.08 ,166.0 mg/dm^3,0.041 g(sodium chloride)/dm^3,10.3 g/dm^3,0.26 g/dm^3,True
3.3 ,19.0 mg/dm^3,0.075 g(sodium chloride)/dm^3,1.8 g/dm^3,0.05 g/dm^3,False
3.21 ,76.0 mg/dm^3,0.024 g(sodium chloride)/dm^3,1.7 g/dm^3,0.27 g/dm^3,True
3.16 ,42.0 mg/dm^3,0.098 g(sodium chloride)/dm^3,2.7 g/dm^3,0.49 g/dm^3,False
3.11 ,181.0 mg/dm^3,0.035 g(sodium chloride)/dm^3,8.75 g/dm^3,0.33 g/dm^3,False
3.36 ,93.0 mg/dm^3,0.037 g(sodium chloride)/dm^3,1.5 g/dm^3,0.23 g/dm^3,True
3.27 ,24.0 mg/dm^3,0.09 g(sodium chloride)/dm^3,3.8 g/dm^3,0.49 g/dm^3,False
3.47 ,209.0 mg/dm^3,0.049 g(sodium chloride)/dm^3,10.6 g/dm^3,0.32 g/dm^3,True
3.47 ,212.0 mg/dm^3,0.048 g(sodium chloride)/dm^3,13.3 g/dm^3,0.22 g/dm^3,False
3.22 ,7.0 mg/dm^3,0.056 g(sodium chloride)/dm^3,2.6 g/dm^3,0.08 g/dm^3,False
3.41 ,11.0 mg/dm^3,0.086 g(sodium chloride)/dm^3,4.65 g/dm^3,0.05 g/dm^3,False
3.24 ,153.0 mg/dm^3,0.039 g(sodium chloride)/dm^3,17.5 g/dm^3,0.35 g/dm^3,True
3.51 ,34.0 mg/dm^3,0.076 g(sodium chloride)/dm^3,1.9 g/dm^3,0.0 g/dm^3,False
3.54 ,88.0 mg/dm^3,0.039 g(sodium chloride)/dm^3,1.6 g/dm^3,0.19 g/dm^3,True
3.28 ,145.0 mg/dm^3,0.053 g(sodium chloride)/dm^3,14.1 g/dm^3,0.44 g/dm^3,True
3.14 ,131.0 mg/dm^3,0.035 g(sodium chloride)/dm^3,11.7 g/dm^3,0.49 g/dm^3,False
3.26 ,131.0 mg/dm^3,0.047 g(sodium chloride)/dm^3,1.1 g/dm^3,0.3 g/dm^3,False
3.15 ,137.0 mg/dm^3,0.054 g(sodium chloride)/dm^3,11.2 g/dm^3,0.45 g/dm^3,False
3.23 ,149.0 mg/dm^3,0.053 g(sodium chloride)/dm^3,7.9 g/dm^3,0.22 g/dm^3,False
3.38 ,170.0 mg/dm^3,0.045 g(sodium chloride)/dm^3,1.8 g/dm^3,0.34 g/dm^3,True
3.05 ,169.0 mg/dm^3,0.04 g(sodium chloride)/dm^3,1.7 g/dm^3,0.49 g/dm^3,False
3.09 ,184.0 mg/dm^3,0.063 g(sodium chloride)/dm^3,8.8 g/dm^3,0.27 g/dm^3,True
3.23 ,36.0 mg/dm^3,0.057 g(sodium chloride)/dm^3,2.2 g/dm^3,0.37 g/dm^3,False
3.1 ,97.0 mg/dm^3,0.041 g(sodium chloride)/dm^3,7.1 g/dm^3,0.23 g/dm^3,True
3.23 ,172.0 mg/dm^3,0.08 g(sodium chloride)/dm^3,4.6 g/dm^3,0.27 g/dm^3,True
3.31 ,60.0 mg/dm^3,0.094 g(sodium chloride)/dm^3,2.5 g/dm^3,0.38 g/dm^3,False
3.0 ,125.0 mg/dm^3,0.038 g(sodium chloride)/dm^3,8.6 g/dm^3,0.35 g/dm^3,True
3.53 ,91.0 mg/dm^3,0.033 g(sodium chloride)/dm^3,1.3 g/dm^3,0.3 g/dm^3,True
3.67 ,26.0 mg/dm^3,0.089 g(sodium chloride)/dm^3,1.7 g/dm^3,0.09 g/dm^3,False
3.16 ,98.0 mg/dm^3,0.094 g(sodium chloride)/dm^3,5.2 g/dm^3,0.19 g/dm^3,False
3.39 ,21.0 mg/dm^3,0.086 g(sodium chloride)/dm^3,2.0 g/dm^3,0.42 g/dm^3,False
3.19 ,175.0 mg/dm^3,0.054 g(sodium chloride)/dm^3,2.2 g/dm^3,0.4 g/dm^3,False
3.03 ,138.0 mg/dm^3,0.051 g(sodium chloride)/dm^3,8.5 g/dm^3,0.23 g/dm^3,False
3.14 ,28.0 mg/dm^3,0.087 g(sodium chloride)/dm^3,2.2 g/dm^3,0.24 g/dm^3,False
3.19 ,126.0 mg/dm^3,0.037 g(sodium chloride)/dm^3,1.4 g/dm^3,0.32 g/dm^3,False
3.26 ,245.0 mg/dm^3,0.048 g(sodium chloride)/dm^3,12.2 g/dm^3,0.44 g/dm^3,True
3.33 ,58.0 mg/dm^3,0.078 g(sodium chloride)/dm^3,2.25 g/dm^3,0.31 g/dm^3,False
3.19 ,176.0 mg/dm^3,0.049 g(sodium chloride)/dm^3,5.5 g/dm^3,0.32 g/dm^3,True
3.11 ,169.0 mg/dm^3,0.045 g(sodium chloride)/dm^3,7.7 g/dm^3,0.49 g/dm^3,True
3.29 ,167.0 mg/dm^3,0.04 g(sodium chloride)/dm^3,6.6 g/dm^3,0.21 g/dm^3,False
3.06 ,194.0 mg/dm^3,0.044 g(sodium chloride)/dm^3,15.3 g/dm^3,0.29 g/dm^3,True
3.52 ,71.0 mg/dm^3,0.082 g(sodium chloride)/dm^3,2.3 g/dm^3,9.086394540156872 g/dm^3,False
3.26 ,165.0 mg/dm^3,0.048 g(sodium chloride)/dm^3,2.7 g/dm^3,0.28 g/dm^3,True
3.26 ,82.0 mg/dm^3,0.057 g(sodium chloride)/dm^3,7.9 g/dm^3,0.28 g/dm^3,True
3.4 ,172.0 mg/dm^3,0.039 g(sodium chloride)/dm^3,16.7 g/dm^3,0.3 g/dm^3,False
3.16 ,37.0 mg/dm^3,0.11 g(sodium chloride)/dm^3,2.2 g/dm^3,0.43 g/dm^3,False
3.08 ,154.0 mg/dm^3,0.055 g(sodium chloride)/dm^3,1.6 g/dm^3,0.37 g/dm^3,False
2.94 ,135.0 mg/dm^3,0.05 g(sodium chloride)/dm^3,1.6 g/dm^3,0.42 g/dm^3,True
3.22 ,124.0 mg/dm^3,0.042 g(sodium chloride)/dm^3,10.8 g/dm^3,0.25 g/dm^3,True
3.24 ,73.0 mg/dm^3,0.033 g(sodium chloride)/dm^3,1.0 g/dm^3,0.34 g/dm^3,True
3.26 ,179.0 mg/dm^3,0.036 g(sodium chloride)/dm^3,15.7 g/dm^3,0.31 g/dm^3,False
3.36 ,138.0 mg/dm^3,0.029 g(sodium chloride)/dm^3,1.4 g/dm^3,0.33 g/dm^3,True
3.57 ,27.0 mg/dm^3,0.053 g(sodium chloride)/dm^3,2.6 g/dm^3,0.1 g/dm^3,False
3.38 ,48.0 mg/dm^3,0.145 g(sodium chloride)/dm^3,1.5 g/dm^3,0.42 g/dm^3,False
3.26 ,32.0 mg/dm^3,0.077 g(sodium chloride)/dm^3,1.9 g/dm^3,0.22 g/dm^3,False
3.36 ,129.5 mg/dm^3,0.042 g(sodium chloride)/dm^3,14.75 g/dm^3,0.4 g/dm^3,True
3.32 ,17.0 mg/dm^3,0.065 g(sodium chloride)/dm^3,1.9 g/dm^3,0.3 g/dm^3,False
3.32 ,20.0 mg/dm^3,0.074 g(sodium chloride)/dm^3,1.4 g/dm^3,0.07 g/dm^3,False
3.38 ,44.0 mg/dm^3,0.063 g(sodium chloride)/dm^3,2.0 g/dm^3,0.06 g/dm^3,False
3.28 ,103.0 mg/dm^3,0.048 g(sodium chloride)/dm^3,2.4 g/dm^3,0.32 g/dm^3,True
3.07 ,121.0 mg/dm^3,0.046 g(sodium chloride)/dm^3,2.9 g/dm^3,0.31 g/dm^3,True
3.41 ,28.0 mg/dm^3,0.08 g(sodium chloride)/dm^3,2.2 g/dm^3,0.0 g/dm^3,False
3.16 ,9.0 mg/dm^3,0.069 g(sodium chloride)/dm^3,1.5 g/dm^3,0.21 g/dm^3,False
3.23 ,140.0 mg/dm^3,0.079 g(sodium chloride)/dm^3,1.9 g/dm^3,0.26 g/dm^3,False
2.99 ,116.0 mg/dm^3,0.054 g(sodium chloride)/dm^3,4.1 g/dm^3,0.3 g/dm^3,True
3.46 ,31.0 mg/dm^3,0.096 g(sodium chloride)/dm^3,1.9 g/dm^3,0.02 g/dm^3,False
3.08 ,172.0 mg/dm^3,0.048 g(sodium chloride)/dm^3,5.5 g/dm^3,0.51 g/dm^3,True
3.35 ,158.0 mg/dm^3,0.044 g(sodium chloride)/dm^3,4.2 g/dm^3,0.28 g/dm^3,True
3.27 ,18.0 mg/dm^3,0.078 g(sodium chloride)/dm^3,1.6 g/dm^3,0.14 g/dm^3,False
3.1 ,76.0 mg/dm^3,0.038 g(sodium chloride)/dm^3,1.4 g/dm^3,0.28 g/dm^3,True
3.05 ,143.0 mg/dm^3,0.039 g(sodium chloride)/dm^3,2.1 g/dm^3,0.26 g/dm^3,False
3.12 ,121.0 mg/dm^3,0.027 g(sodium chloride)/dm^3,1.2 g/dm^3,0.4 g/dm^3,True
3.2 ,122.0 mg/dm^3,0.039 g(sodium chloride)/dm^3,1.5 g/dm^3,0.38 g/dm^3,True
3.16 ,192.0 mg/dm^3,0.05 g(sodium chloride)/dm^3,10.4 g/dm^3,0.65 g/dm^3,False
3.34 ,156.0 mg/dm^3,0.047 g(sodium chloride)/dm^3,14.55 g/dm^3,0.4 g/dm^3,True
3.24 ,110.0 mg/dm^3,0.044 g(sodium chloride)/dm^3,16.65 g/dm^3,0.22 g/dm^3,True
2.94 ,87.0 mg/dm^3,0.048 g(sodium chloride)/dm^3,2.3 g/dm^3,0.39 g/dm^3,True
3.02 ,43.0 mg/dm^3,0.073 g(sodium chloride)/dm^3,4.6 g/dm^3,0.49 g/dm^3,False
3.39 ,114.0 mg/dm^3,0.053 g(sodium chloride)/dm^3,1.4 g/dm^3,0.31 g/dm^3,True
3.14 ,111.0 mg/dm^3,0.031 g(sodium chloride)/dm^3,2.5 g/dm^3,0.04 g/dm^3,False
2.85 ,114.0 mg/dm^3,0.042 g(sodium chloride)/dm^3,17.5 g/dm^3,0.71 g/dm^3,True
3.34 ,185.0 mg/dm^3,0.044 g(sodium chloride)/dm^3,9.0 g/dm^3,0.49 g/dm^3,True
2.98 ,140.0 mg/dm^3,0.036 g(sodium chloride)/dm^3,9.1 g/dm^3,0.31 g/dm^3,True
3.0 ,63.0 mg/dm^3,0.36 g(sodium chloride)/dm^3,1.8 g/dm^3,0.24 g/dm^3,False
3.06 ,171.0 mg/dm^3,0.058 g(sodium chloride)/dm^3,1.3 g/dm^3,0.69 g/dm^3,False
3.25 ,201.0 mg/dm^3,0.051 g(sodium chloride)/dm^3,13.2 g/dm^3,0.26 g/dm^3,False
3.1 ,79.0 mg/dm^3,0.041 g(sodium chloride)/dm^3,3.9 g/dm^3,0.29 g/dm^3,True
3.38 ,123.0 mg/dm^3,0.039 g(sodium chloride)/dm^3,1.6 g/dm^3,0.46 g/dm^3,True
3.22 ,153.0 mg/dm^3,0.045 g(sodium chloride)/dm^3,16.4 g/dm^3,0.32 g/dm^3,False
3.32 ,119.0 mg/dm^3,0.037 g(sodium chloride)/dm^3,1.5 g/dm^3,0.28 g/dm^3,True
3.23 ,29.0 mg/dm^3,0.056 g(sodium chloride)/dm^3,2.0 g/dm^3,0.31 g/dm^3,False
3.29 ,218.5 mg/dm^3,0.053 g(sodium chloride)/dm^3,1.0 g/dm^3,0.32 g/dm^3,True
3.31 ,184.0 mg/dm^3,0.06 g(sodium chloride)/dm^3,10.4 g/dm^3,0.45 g/dm^3,True
3.2 ,24.0 mg/dm^3,0.08 g(sodium chloride)/dm^3,1.7 g/dm^3,0.51 g/dm^3,False
3.52 ,28.0 mg/dm^3,0.083 g(sodium chloride)/dm^3,2.2 g/dm^3,0.12 g/dm^3,False
3.18 ,208.0 mg/dm^3,0.054 g(sodium chloride)/dm^3,1.2 g/dm^3,0.23 g/dm^3,True
3.28 ,67.0 mg/dm^3,0.089 g(sodium chloride)/dm^3,2.4 g/dm^3,0.33 g/dm^3,False
2.98 ,183.0 mg/dm^3,0.054 g(sodium chloride)/dm^3,18.0 g/dm^3,0.48 g/dm^3,True
3.38 ,133.0 mg/dm^3,0.099 g(sodium chloride)/dm^3,2.3 g/dm^3,0.49 g/dm^3,False
3.17 ,127.0 mg/dm^3,0.034 g(sodium chloride)/dm^3,4.9 g/dm^3,0.37 g/dm^3,True
3.17 ,68.0 mg/dm^3,0.044 g(sodium chloride)/dm^3,2.2 g/dm^3,0.21 g/dm^3,True
3.32 ,71.0 mg/dm^3,0.075 g(sodium chloride)/dm^3,1.0 g/dm^3,0.42 g/dm^3,True
3.32 ,29.0 mg/dm^3,0.267 g(sodium chloride)/dm^3,1.2 g/dm^3,0.0 g/dm^3,False
3.41 ,40.0 mg/dm^3,0.076 g(sodium chloride)/dm^3,2.2 g/dm^3,0.15 g/dm^3,False
3.22 ,174.0 mg/dm^3,0.053 g(sodium chloride)/dm^3,3.5 g/dm^3,0.38 g/dm^3,False
3.21 ,49.0 mg/dm^3,0.079 g(sodium chloride)/dm^3,2.6 g/dm^3,0.11 g/dm^3,False
3.09 ,140.0 mg/dm^3,0.05 g(sodium chloride)/dm^3,1.2 g/dm^3,0.35 g/dm^3,False
3.15 ,32.0 mg/dm^3,0.054 g(sodium chloride)/dm^3,1.7 g/dm^3,0.47 g/dm^3,False
,107.0 mg/dm^3,0.036 g(sodium chloride)/dm^3,1.2 g/dm^3,0.3 g/dm^3,True
3.12 ,69.0 mg/dm^3,0.079 g(sodium chloride)/dm^3,2.6 g/dm^3,0.49 g/dm^3,False
3.2 ,125.0 mg/dm^3,0.049 g(sodium chloride)/dm^3,9.8 g/dm^3,0.22 g/dm^3,True
3.24 ,163.0 mg/dm^3,0.05 g(sodium chloride)/dm^3,1.4 g/dm^3,0.35 g/dm^3,False
3.16 ,175.0 mg/dm^3,0.045 g(sodium chloride)/dm^3,6.6 g/dm^3,0.19 g/dm^3,True
3.51 ,52.0 mg/dm^3,0.072 g(sodium chloride)/dm^3,2.9 g/dm^3,0.0 g/dm^3,False
3.3 ,59.0 mg/dm^3,0.078 g(sodium chloride)/dm^3,2.0 g/dm^3,0.25 g/dm^3,False
3.19 ,156.0 mg/dm^3,0.037 g(sodium chloride)/dm^3,7.4 g/dm^3,0.36 g/dm^3,True
3.55 ,94.0 mg/dm^3,0.082 g(sodium chloride)/dm^3,2.3 g/dm^3,0.02 g/dm^3,False
3.6 ,67.0 mg/dm^3,0.078 g(sodium chloride)/dm^3,2.5 g/dm^3,0.24 g/dm^3,False
3.36 ,122.0 mg/dm^3,0.034 g(sodium chloride)/dm^3,4.9 g/dm^3,0.27 g/dm^3,True
3.14 ,212.5 mg/dm^3,0.056 g(sodium chloride)/dm^3,14.2 g/dm^3,0.3 g/dm^3,True
3.36 ,125.0 mg/dm^3,0.038 g(sodium chloride)/dm^3,5.3 g/dm^3,0.3 g/dm^3,True
3.38 ,112.0 mg/dm^3,0.093 g(sodium chloride)/dm^3,3.0 g/dm^3,0.34 g/dm^3,False
3.0 ,112.0 mg/dm^3,0.026 g(sodium chloride)/dm^3,8.2 g/dm^3,0.3 g/dm^3,True
3.16 ,141.0 mg/dm^3,0.048 g(sodium chloride)/dm^3,10.2 g/dm^3,0.33 g/dm^3,True
3.02 ,104.0 mg/dm^3,0.027 g(sodium chloride)/dm^3,2.1 g/dm^3,0.45 g/dm^3,True
3.16 ,172.0 mg/dm^3,0.044 g(sodium chloride)/dm^3,8.0 g/dm^3,0.19 g/dm^3,False
3.14 ,223.0 mg/dm^3,0.041 g(sodium chloride)/dm^3,7.5 g/dm^3,0.18 g/dm^3,False
3.3 ,118.0 mg/dm^3,0.034 g(sodium chloride)/dm^3,1.6 g/dm^3,0.29 g/dm^3,True
2.99 ,113.0 mg/dm^3,0.046 g(sodium chloride)/dm^3,6.6 g/dm^3,0.15 g/dm^3,True
3.24 ,113.0 mg/dm^3,0.049 g(sodium chloride)/dm^3,1.0 g/dm^3,0.3 g/dm^3,False
3.06 ,172.0 mg/dm^3,0.042 g(sodium chloride)/dm^3,1.2 g/dm^3,0.13 g/dm^3,False
2.9 ,135.0 mg/dm^3,0.05 g(sodium chloride)/dm^3,15.5 g/dm^3,0.27 g/dm^3,True
3.13 ,180.0 mg/dm^3,0.053 g(sodium chloride)/dm^3,5.25 g/dm^3,0.22 g/dm^3,True
3.29 ,156.0 mg/dm^3,0.033 g(sodium chloride)/dm^3,1.8 g/dm^3,0.74 g/dm^3,True
3.17 ,157.0 mg/dm^3,0.083 g(sodium chloride)/dm^3,20.2 g/dm^3,0.25 g/dm^3,False
3.05 ,112.0 mg/dm^3,0.038 g(sodium chloride)/dm^3,3.5 g/dm^3,0.23 g/dm^3,True
3.26 ,105.0 mg/dm^3,0.036 g(sodium chloride)/dm^3,4.7 g/dm^3,0.49 g/dm^3,True
2.94 ,87.0 mg/dm^3,0.04 g(sodium chloride)/dm^3,2.7 g/dm^3,0.24 g/dm^3,True
3.14 ,142.0 mg/dm^3,0.043 g(sodium chloride)/dm^3,11.2 g/dm^3,0.56 g/dm^3,False
3.26 ,102.0 mg/dm^3,0.041 g(sodium chloride)/dm^3,1.4 g/dm^3,0.3 g/dm^3,True
3.25 ,82.0 mg/dm^3,0.032 g(sodium chloride)/dm^3,0.8 g/dm^3,0.0 g/dm^3,False
3.13 ,170.0 mg/dm^3,0.055 g(sodium chloride)/dm^3,9.7 g/dm^3,0.56 g/dm^3,True
3.03 ,174.0 mg/dm^3,0.05 g(sodium chloride)/dm^3,15.4 g/dm^3,0.34 g/dm^3,True
3.23 ,11.0 mg/dm^3,0.132 g(sodium chloride)/dm^3,3.8 g/dm^3,0.48 g/dm^3,False
3.31 ,71.0 mg/dm^3,0.102 g(sodium chloride)/dm^3,3.4 g/dm^3,0.07 g/dm^3,False
3.03 ,101.0 mg/dm^3,0.068 g(sodium chloride)/dm^3,3.5 g/dm^3,0.19 g/dm^3,True
3.16 ,116.0 mg/dm^3,0.045 g(sodium chloride)/dm^3,3.1 g/dm^3,0.49 g/dm^3,False
3.32 ,158.0 mg/dm^3,0.034 g(sodium chloride)/dm^3,1.1 g/dm^3,0.34 g/dm^3,True
3.14 ,124.0 mg/dm^3,0.036 g(sodium chloride)/dm^3,1.2 g/dm^3,0.38 g/dm^3,True
3.25 ,165.0 mg/dm^3,0.066 g(sodium chloride)/dm^3,1.4 g/dm^3,0.4 g/dm^3,False
3.25 ,124.0 mg/dm^3,0.038 g(sodium chloride)/dm^3,1.6 g/dm^3,0.36 g/dm^3,False
3.16 ,21.0 mg/dm^3,0.082 g(sodium chloride)/dm^3,2.6 g/dm^3,0.62 g/dm^3,False
3.09 ,18.0 mg/dm^3,0.071 g(sodium chloride)/dm^3,1.9 g/dm^3,0.58 g/dm^3,False
3.13 ,103.0 mg/dm^3,0.037 g(sodium chloride)/dm^3,8.8 g/dm^3,0.35 g/dm^3,True
3.37 ,104.0 mg/dm^3,0.034 g(sodium chloride)/dm^3,5.3 g/dm^3,0.34 g/dm^3,True
3.08 ,118.0 mg/dm^3,0.047 g(sodium chloride)/dm^3,17.3 g/dm^3,0.23 g/dm^3,True
3.27 ,87.0 mg/dm^3,0.063 g(sodium chloride)/dm^3,1.6 g/dm^3,0.0 g/dm^3,True
3.11 ,211.0 mg/dm^3,0.043 g(sodium chloride)/dm^3,11.0 g/dm^3,0.26 g/dm^3,True
3.31 ,86.0 mg/dm^3,0.052 g(sodium chloride)/dm^3,1.3 g/dm^3,0.3 g/dm^3,True
2.97 ,155.0 mg/dm^3,0.038 g(sodium chloride)/dm^3,18.95 g/dm^3,0.39 g/dm^3,True
3.41 ,43.0 mg/dm^3,0.064 g(sodium chloride)/dm^3,2.1 g/dm^3,0.01 g/dm^3,False
3.04 ,200.0 mg/dm^3,0.05 g(sodium chloride)/dm^3,13.1 g/dm^3,0.36 g/dm^3,True
3.06 ,72.0 mg/dm^3,0.043 g(sodium chloride)/dm^3,1.2 g/dm^3,0.32 g/dm^3,False
3.16 ,223.0 mg/dm^3,0.048 g(sodium chloride)/dm^3,14.6 g/dm^3,0.41 g/dm^3,True
3.22 ,190.0 mg/dm^3,0.045 g(sodium chloride)/dm^3,7.2 g/dm^3,0.21 g/dm^3,False
3.08 ,95.0 mg/dm^3,0.032 g(sodium chloride)/dm^3,1.3 g/dm^3,0.28 g/dm^3,True
3.1 ,35.0 mg/dm^3,0.071 g(sodium chloride)/dm^3,2.2 g/dm^3,0.52 g/dm^3,False
3.25 ,198.0 mg/dm^3,0.048 g(sodium chloride)/dm^3,8.6 g/dm^3,0.22 g/dm^3,False
3.35 ,115.0 mg/dm^3,0.036 g(sodium chloride)/dm^3,11.4 g/dm^3,0.29 g/dm^3,True
3.02 ,46.0 mg/dm^3,0.029 g(sodium chloride)/dm^3,11.7 g/dm^3,0.35 g/dm^3,True
3.26 ,143.0 mg/dm^3,0.046 g(sodium chloride)/dm^3,12.7 g/dm^3,0.26 g/dm^3,True
3.22 ,40.0 mg/dm^3,0.058 g(sodium chloride)/dm^3,2.0 g/dm^3,0.41 g/dm^3,False
2.93 ,107.0 mg/dm^3,0.025 g(sodium chloride)/dm^3,7.9 g/dm^3,0.37 g/dm^3,True
3.09 ,169.0 mg/dm^3,0.045 g(sodium chloride)/dm^3,10.6 g/dm^3,0.7 g/dm^3,False
3.34 ,98.0 mg/dm^3,0.036 g(sodium chloride)/dm^3,10.7 g/dm^3,0.33 g/dm^3,True
3.06 ,96.0 mg/dm^3,0.036 g(sodium chloride)/dm^3,1.2 g/dm^3,0.34 g/dm^3,True
3.12 ,168.0 mg/dm^3,0.042 g(sodium chloride)/dm^3,6.8 g/dm^3,0.72 g/dm^3,True
3.48 ,111.0 mg/dm^3,0.024 g(sodium chloride)/dm^3,2.8 g/dm^3,0.1 g/dm^3,True
2.94 ,71.0 mg/dm^3,0.026 g(sodium chloride)/dm^3,8.1 g/dm^3,0.3 g/dm^3,False
3.31 ,132.0 mg/dm^3,0.038 g(sodium chloride)/dm^3,12.8 g/dm^3,0.28 g/dm^3,True
3.34 ,137.0 mg/dm^3,0.044 g(sodium chloride)/dm^3,13.3 g/dm^3,0.24 g/dm^3,False
2.97 ,176.5 mg/dm^3,0.056 g(sodium chloride)/dm^3,12.4 g/dm^3,0.48 g/dm^3,False
3.2 ,151.0 mg/dm^3,0.055 g(sodium chloride)/dm^3,8.5 g/dm^3,0.24 g/dm^3,False
2.93 ,167.0 mg/dm^3,0.048 g(sodium chloride)/dm^3,22.0 g/dm^3,0.4 g/dm^3,False
3.42 ,70.0 mg/dm^3,0.073 g(sodium chloride)/dm^3,1.8 g/dm^3,0.3 g/dm^3,False
2.94 ,220.0 mg/dm^3,0.301 g(sodium chloride)/dm^3,12.1 g/dm^3,0.38 g/dm^3,False
3.13 ,32.0 mg/dm^3,0.08 g(sodium chloride)/dm^3,1.9 g/dm^3,0.22 g/dm^3,False
3.29 ,39.0 mg/dm^3,0.069 g(sodium chloride)/dm^3,8.9 g/dm^3,0.41 g/dm^3,False
3.49 ,131.0 mg/dm^3,0.028 g(sodium chloride)/dm^3,10.2 g/dm^3,0.3 g/dm^3,True
3.14 ,179.0 mg/dm^3,0.032 g(sodium chloride)/dm^3,12.4 g/dm^3,0.41 g/dm^3,False
3.05 ,76.0 mg/dm^3,0.037 g(sodium chloride)/dm^3,9.1 g/dm^3,0.37 g/dm^3,False
3.35 ,90.0 mg/dm^3,0.052 g(sodium chloride)/dm^3,9.6 g/dm^3,0.32 g/dm^3,True
3.3 ,82.0 mg/dm^3,0.022 g(sodium chloride)/dm^3,1.5 g/dm^3,0.31 g/dm^3,True
3.33 ,68.0 mg/dm^3,0.026 g(sodium chloride)/dm^3,1.2 g/dm^3,0.31 g/dm^3,True
3.15 ,162.0 mg/dm^3,0.039 g(sodium chloride)/dm^3,6.3 g/dm^3,0.4 g/dm^3,True
3.34 ,48.0 mg/dm^3,0.065 g(sodium chloride)/dm^3,2.4 g/dm^3,0.4 g/dm^3,False
2.99 ,119.0 mg/dm^3,0.041 g(sodium chloride)/dm^3,9.65 g/dm^3,0.21 g/dm^3,True
3.33 ,87.0 mg/dm^3,0.036 g(sodium chloride)/dm^3,2.0 g/dm^3,0.29 g/dm^3,True
3.13 ,219.0 mg/dm^3,0.042 g(sodium chloride)/dm^3,7.6 g/dm^3,0.17 g/dm^3,False
2.96 ,113.0 mg/dm^3,0.041 g(sodium chloride)/dm^3,6.4 g/dm^3,0.62 g/dm^3,False
